question,answer,level
"( 연의 ) 낙성의 동남쪽에 있는 좁은 길에 매복하고 있다가, 적의 선봉인 위연의 군이 지나가도록 내버려두고, 위연의 뒤에 따라오는 군대를 노린, 유장의 장수의 이름은?",장임,hard
"( 연의 ) 진랑이 죽은 뒤, 제갈량은 군사들을 시켜 싸움을 걸게 했으나 위나라 군대가 싸우러 나오지 않자, 기산의 앞과 ㅁ수의 동서를 답사해 보았다.",위,very hard
"( 연의 ) 조조는 위왕이 되자, 아들을 낳지 못한 정부인을 내쫓고 ___씨를 왕비로 삼았다.",변,very hard
"( 연의, 사서 공통 ) 시중 태사령 왕립은 ""금성과 화성이 만났으니, 한나라의 운은 다해가고, 옛 ㅁ나라 땅이나 위나라 땅에서 새로 흥할 자가 있을 것"" 이라고 종정 유애에게 말했다.",진,super hard
( 연의 ) 대래동주는 _____에게 목록대왕을 소개해 주었다.,맹획,hard
"( 연의 ) 한기가 창에 찔려 낙마하자, 바로 달아나기 시작한 _____에게 곧 화살 세 발이 날아왔다.",조운,very hard
"( 연의 ) 황충이 죽자, ""오호대장군 중 셋이 죽었구나"" 라고 말한 사람의 이름은?",유비,hard
"( 연의 ) 관우가 있는 ㅁ성을 포위한 여몽은, 여범이 점을 쳐본 다음, 손권에게 ""관우에게 날개가 있더라도 빠져나갈 수 없다"" 고 말했다.",맥,hard
"( 연의, 사서 공통 ) 왕립이 ""오행에서 화를 대신할 것은 토이며, 한나라를 대신해서 천하를 평정할 자는 옛 위나라 땅에 있을 것"" 이라고 _____에게 말한 것을 알게 되자, 조조는 사람을 그에게 보내어 ""당신이 조정에 충성하는 것은 알지만, 천도에 관해서는 말을 많이 하지 말라"" 고 전했다.",유협,super hard
"( 연의 ) 적벽의 전투 후 벌어진 남군 전투에서, 조인이 패하여 양양성쪽으로 달아나 주유군은 승리했지만, 이미 ㅁㅁ성 안에는 조운이 입성해 있어서 성을 얻지는 못했다.",남군,hard
"( 연의 ) 동승이 유비에게 보여준 의장에는 ""거기장군 동승, 공부시랑 왕자복, 장수ㅁㅁ 충집, 의랑 오석, 소신장군 오자란, 서량태수 마등"" 이라고 적혀있었다.",교위,super hard
"( 연의 ) 맹달이 죽고 사마의가 장합을 선봉으로 삼아 출발할 때, _____하고 손례는 조진을 지원하는 임무를 맡았다.",신비,very hard
"( 연의, 사서 공통 ) 장각의 동생 중 나이가 많은 사람의 이름은?",장보,hard
"( 연의, 사서 공통 ) 관로는 신도현령의 가족이 병에 걸렸다하여 점을 쳐 주었는데, 신도현령의 집 서쪽에 두 구의 시신이 묻혀있으며, 그 중 활을 쥐고 있는 시신 때문에 가족들에게 ㅁㅁ이 아픈 병이 발생한다고 말했다.",가슴,very hard
( 연의 ) 산발을 하고 맨발에 검은 옷을 입은 24명이 제갈량과 함께 나타나는 것을 사마의가 본 날의 전투에서 패배하여 상규성으로 달아난 쪽은 ㅁ나라 군대였다.,위,hard
"( 연의 ) 원술은 손견에게 ""_____하고 유표와 짜고 강동을 습격하려 하니, 당신이 유표를 쳐서 형주를 취하라"" 는 내용의 밀서를 보냈다.",원소,hard
"( 연의 ) 안량과 문추가 죽은 이후, 조홍을 도와 황건적의 잔당을 토벌하기 위해 우금, 악진과 함께 여남으로 파견된 장수의 이름은?",관우,very hard
"( 연의 ) 영안성을 지키던 이엄이 보낸 ㅁㅁ 구안이 군량을 운송해 왔으나, 기한을 열흘이나 넘긴 후였다.",도위,super hard
"( 연의 ) 손권은 등지에게 ""너는 제갈량의 세객이 되어 ㅁ나라와 손을 잡게 하려고 오지 않았느냐"" 고 말했다.",촉,hard
"( 연의, 사서 공통 ) 동흥 제방을 두고 벌어진 전투에서 오나라가 승리하자, 20만의 병력을 동원하여 위나라를 공격한, 오나라의 신하의 이름은?",제갈각,hard
"( 연의, 사서 공통 ) 손량의 폐위를 반대하다가 손침에게 죽은 상서의 이름은?",환이,super hard
"( 연의 ) 동오에서는 대장을 한 명 잃을 것이며 서촉에서는 침범을 해오리라는 관로의 점괘를 듣고는 믿지 않았다가, 갑자기 합비에서 보고가 와서 동오의 육구를 지키던 장수인 노숙이 죽었다고 하자 깜짝 놀란 사람의 이름은?",조조,hard
( 사서 ) 부하는 북지군 ___현 사람이다.,이양,super hard
"( 연의 ) 위연을 달래라는 유선의 명령을 받은 _____도 아직 남정에 도착하기 전이었을 때, 마대는 위연을 죽였다.",동윤,very hard
"( 연의 ) 위연이 ""왜 선봉인 저를 한가한 곳에 두느냐"" 고 묻자, 제갈량은 ""앞장서서 적과 싸우는 건 편장이나 비장들이 할 일이며, 당신이 지원해야 할 가정은 양평관으로 가는 요충지이고 ㅁㅁ의 목구멍 같은 곳이니, 이는 매우 중요한 임무를 맡은 것"" 이라고 대답했다.",한중,very hard
"( 연의 ) 사신 등지의 활약으로 촉과 오가 화친하자, 위나라는 오나라 침공을 하면서 _____에게 선두부대를, 조휴에게 후미부대를, 허저와 여건에게 중군호위를, 유엽과 장제에게 참모관을 맡게 했다.",조진,very hard
"( 연의 ) 장합이 가맹관으로 공격해오자 유비가 구원군으로 보낸 황충은, 곽준과 맹달이 자신을 비웃는 것을 알아채고는, 공을 세워 저들을 놀라게 하자고 _____에게 말했으며, 의논을 하고는 장합과 싸우기 위해 가맹관을 나섰다.",엄안,hard
"( 연의 ) 포로로 잡힌 위나라 병사들의 옷과 갑옷을 입은 5천의 촉한 병사들은, 제갈량의 명령을 받은 _____, 요화, 오반, 오의와 함께 조진의 영채로 향했다.",관흥,very hard
"( 연의 ) 육손은 어복포의 석진에서 빠져나온 뒤, _____에게 감사를 표했다.",황승언,hard
( 연의 ) 기령은 여포의 처인 ___씨가 낳은 딸과 원술의 아들을 결혼시키는 계책을 제안했다.,엄,very hard
( 사서 ) 마일제의 출신지는 사례 ___군이다.,우부풍,super hard
"( 연의, 사서 공통 ) 장송의 출신지는 촉군 ___현이다.",성도,super hard
"( 연의 ) ㅁㅁ왕이라는 작위가 사마부에게 주어졌으나, 사마부는 그 작위를 받지 않았다.",안평,super hard
"( 연의 ) 이복이 ""장완 다음으로는 누가 국가의 대사를 맡기에 적당하냐"" 고 묻자, 제갈량은 ""뒤를 이을만 한 사람은 _____일것"" 이라고 대답했다.",비의,hard
"( 연의, 사서 공통 ) 복양성에 들어갔다가 여포군의 공격을 받아 위기에 처한 조조는, ""_____ 그자는 어디 있느냐"" 고 묻는 적에게 ""저기 노란 말을 타고 있는 자다"" 라고 대답해서 적을 그 쪽으로 가게 했다.",조조,hard
"( 연의 ) 장반과 초이는 ""ㅁ와 초 지방의 병사들을 데리고 성을 나가서 적과 결전을 벌이자"" 고 말했지만, 제갈탄은 그 의견을 받아들이지 않았다.",오,super hard
"( 연의 ) 관우는 ""미방과 부사인의 수비가 걱정이 되니, _____ 대신 조루에게 형주의 수비를 돕게 하라"" 는 왕보의 진언을 받아들이지 않았다.",반준,very hard
"( 연의, 사서 공통 ) 허창은 아들 허소와 함께 ___군에서 반란을 일으켰다.",회계,super hard
( 연의 ) 금마초라는 별명을 가진 장수의 이름은?,마초,medium
"( 연의 ) 제갈량의 수명 연장 기도가 시작된 지 여섯 번째 밤이 되었을 때, 위연이 ㅁ로 등불을 껐다.",발,super hard
"( 연의, 사서 공통 ) 조비의 사신으로 손권에게 간 형정이 교만한 기색을 보이며 궐 안에 들어왔는데도 ㅁㅁ에서 내리지 않자, 장소는 예와 법을 언급하며 ""그대가 스스로를 존대하는데, 강남에 칼 하나가 없겠느냐"" 고 말했다.",수레,super hard
"( 연의, 사서 공통 ) 제갈량의 마지막 위나라 정벌 때, 사마의는 ""제갈량이 위수를 넘어서 병력을 북쪽 산으로 연결하여 길을 끊어버린다면 큰일"" 이라는 _____의 의견을 옳게 여겼다.",곽회,very hard
"( 연의 ) 조상은 사냥을 좋아하여, 이에 대해 _____하고 환범이 충고했으나 듣지 않았다.",조희,super hard
"( 연의, 사서 공통 ) 구석 중 납폐란, 황궁 내 전상에 ㅁ을 착용하고 오를 수 있는 특전이다.",신,super hard
"( 연의 ) 휘하의 군사들을 안정의 병력인 것 처럼 위장시키고, 심야에 안정의 성 앞으로 가서 적을 속여 성문을 열게 만들어서 성을 접수하고는, 돌아온 최량에게 성 위에서 소리친 사람의 이름은?",위연,very hard
"( 연의, 사서 공통 ) 전기의 처남의 이름은?",손량,very hard
( 사서 ) 왕상은 낭야국 ___현 사람이다.,임기,super hard
"( 연의, 사서 공통 ) 순욱의 장남의 이름은?",순운,very hard
"( 연의, 사서 공통 ) 유비의 부하였던 양홍의 출신지는 익주 ___군이다.",건위,super hard
"( 연의, 사서 공통 ) 적벽의 전투 후 주유와 조인이 남군에서 싸울 때, 감녕이 이릉성에서 포위되자 주유는 직접 감녕을 구하러 가기로 했는데, 이 때 여몽이 남군을 공격하던 본진에 남아 지킬 사람으로 추천한 사람의 이름은?",능통,very hard
( 연의 ) 황충은 하후상과 _____에게 일부러 여러번 패하여 영채를 여러 개 내주고 가맹관 안으로 들어갔다.,한호,hard
"( 연의, 사서 공통 ) 정은의 출신주는 ㅁㅁ이다.",사례,super hard
"( 연의 ) 한수가 조조에게 양추를 사자로 보내서 항복의 의사를 전하고는, 막사 안에서 자신의 부하들과 함께 마초를 어떻게 제압할지 의논하고 있는데, 마초가 뛰어들어와서 한수의 왼쪽 ㅁ을 잘랐다.",팔,hard
"( 연의, 사서 공통 ) 손휴는 _____의 무덤을 파서 관을 꺼내도록 했다.",손준,hard
"( 연의 ) 민공이 추격해오자 장양은 자살했는데, 황제와 진류왕은 밤 ___경까지 강가의 풀숲에 엎드려있었기 때문에 아무도 그들을 발견하지 못했다.",4,super hard
( 사서 ) 조조의 부하인 조홍의 출신지는 패국 ___현이다.,초,super hard
( 연의 ) 반동탁 연합군에 참가했던 서량태수의 이름은?,마등,hard
"( 연의, 사서 공통 ) 유선은 ""제가 직접 모든 군대를 통솔했으나 부하들을 잘못 가르쳐서, 가정에서는 명령 위반이 발생하고 기곡에서는 경계 실패가 발생했으며, ㅁㅁ라는 책에 따르면 패전한 장수가 책임을 지도록 한다고 하니, 저 스스로 직위를 3등급 낮추겠다"" 는 내용이 쓰여있는 제갈량의 글을 읽어보았다.",춘추,super hard
"( 연의, 사서 공통 ) 손권을 섬겼던 조자의 출신주는 형주 ___군이다.",남양,super hard
"( 연의 ) 유비는 여포에게 소패성을 잃고 조조에게 가던 도중, ㅁㅁ꾼 유안의 집에 묵었다가 고기를 대접받았는데, 알고보니 유안의 처의 인육이었다.",사냥,super hard
"( 연의 ) 적을 추격하던 소옹은 산비탈 뒤쪽에 ""조운"" 이라고 ㅁ색 글씨로 쓰여있는 붉은 바탕의 깃발이 나타나자 이를 보고 물러났는데, 얼마 가지 않아 갑자기 나타난 조운과 마주쳤다.",흰,super hard
"( 연의, 사서 공통 ) 손익의 동복 형 중 가장 나이가 많은 사람의 이름은?",손책,very hard
"( 연의, 사서 공통 ) 곽가는 ""당신이 원소를 이길 ___번째 이유는, 원소는 허세를 부리기만 좋아할 뿐 군사를 부리는 요점을 알지 못하지만, 당신은 적은 군사로 많은 군사를 이기며 군사를 부리는 재주가 귀신같으니, 이는 무에서 이기고 있는 것"" 이라고 조조에게 말했다.",10,super hard
"( 연의, 사서 공통 ) 채옹이 한나라의 역사를 계속 저술할 수 있게 해달라고 했지만, 왕윤은 ""ㅁ제가 사마천을 죽이지 않는 대신 궁형에 그쳤는데, 사마천은 황제를 비방하는 책을 쓴 전례가 있다"" 며 채옹의 요청을 받아들이지 않고 옥에 가두었다.",무,super hard
"( 연의 ) 비서랑 극정이 ""황호가 염우에게 공 세울 기회를 주려고 조정에 아뢰었다"" 고 알려주자, 화를 내며 ""그 환관 놈을 반드시 죽여버리겠다"" 고 말한 사람의 이름은?",강유,hard
"( 사서 ) 하비성이 조조의 수공을 받아 물에 잠길 당시, 후성, 송헌과 함께 진궁을 사로잡아 조조에게 투항한 장수의 이름은?",위속,hard
"( 연의 ) ""신성을 포위하고 있는 병력을 철수시켜 위나라 군대의 퇴로를 끊어 달라"" 고 손권에게 요청하는 내용의 글을 입수하여 읽어본 조예는 ""_____의 계책이 훌륭하다"" 며 감탄했다.",육손,hard
"( 연의 ) 위연은 ㅁㅁ곡의 어귀에서 사마의를 기다리고 있었는데, 위나라 병사들이 몰려오기에 나가보니 사마의가 있었다.",상방,very hard
"( 연의, 사서 공통 ) 관도ㅁㅁ이었던 제갈원이 신흥태수로 부임하게 되었을 때 환송회가 열렸는데, 그 자리에서 제갈원은 제비알, 벌집, 거미를 각각 보이지 않게 가리고 관로에게 무슨 물건인지 맞혀보라고 했고, 관로는 셋 모두 맞혔다.",현령,super hard
"( 연의 ) 조안이 마실 것과 말린 사슴고기를 바둑에 정신이 팔려있던 남자들에게 먹이고 목숨을 빌고 돌아와서는, 관로에게 ""그 남자들이 누구냐"" 고 묻자, 관로는 ""붉은 옷을 입은 사람이 ㅁㅁ성"" 이라고 말했다.",남두,very hard
"( 연의 ) 하후돈이 박망파에서 신야의 유비에게 대패하고 돌아오자, 조조는 50만 대군을 일으켜 10만 씩 다섯 대로 나누었으며, 1대는 조인과 조홍, 2대는 장료와 장합, 3대는 하후돈과 하후연, 4대는 이전과 _____에게 맡기고, 5대는 자신이 나머지 장수들과 함께 직접 이끌었다.",우금,hard
"( 연의, 사서 공통 ) 마초와 한수의 연합군이 조조를 공격했을 때, 서황과 주령이 하서를 확보하고 조조도 도하하려고 하자, 조조군이 강을 반쯤 건넜을 때 치는 작전을 내고 실행하도록 한 사람의 이름은?",한수,hard
"( 연의, 사서 공통 ) 유엽은 ""한 나라를 정벌하는 것은 국가의 대사이니 남에게 털어놓을 수 없으며, 군사를 부리는 일은 대저 속임수가 중요하니 비밀스러울 수록 좋다"" 고 말하자, 그 말이 옳다는 반응을 보인 사람의 이름은?",조예,very hard
"( 연의 ) 등충과 사찬이 면죽으로 가는 도중 촉한의 군대와 마주쳤을 때, 촉한군의 진영에서 ㅁ소리가 울리며 사륜거가 나왔는데 그 위에는 윤건을 쓴 사람의 형상이 보였다.",북,super hard
"( 연의 ) 메뚜기 때문에 여포와의 전투를 멈춘 조조가 영천과 여남의 황건적 잔당을 공격했을 때, 이전이 사로잡은 적장의 이름은?",황소,very hard
"( 연의, 사서 공통 ) 조조는 건안 25년 ___월에 죽었다.",1,super hard
"( 연의 ) 유비가 조조의 대군을 피해 백성들을 이끌고 신야와 번성과 양양을 거쳐 피난하였는데, 당시 유비는 손건과 _____에게 강하의 유기에게 가서 구원을 요청하는 임무를 주었으나, 며칠 동안 소식이 없자 제갈량을 추가로 보냈다.",관우,hard
"( 연의, 사서 공통 ) 계모에게 미움받아 목숨을 장담할 수 없는 유기에게, 진문공의 고사를 들어 외지로 나갈 것을 권한 사람의 이름은?",제갈량,hard
"( 연의 ) 유비가 손권의 여동생과 혼인하기 위해 동오로 갈 때, 제갈량은 유비를 수행하는 임무를 맡은 조운에게 비단 ㅁㅁㅁ 세 개를 주면서 그 속의 계책을 차례로 실행해야 한다고 말했다.",주머니,hard
"( 연의 ) 왼쪽에서도 오른쪽에서도 수레와 함께 검은 옷에 머리를 풀어헤친 24명이 나타나자, 사마의는 ""이는 틀림없이 신병들이다"" 라고 말하며 놀라고 위나라 병사들은 도망쳤는데, 또 북소리가 울리더니 ㅁㅁ 넷 달린 수레와 함께 아까 본 것과 같은 모습의 사람들이 나타났다.",바퀴,very hard
"( 연의 ) 위왕 조조가 연 연회 중, 좌자는 송강의 농어만이 아가미가 ___ 개 라고 말했는데, 그가 근처 연못에서 잡은 물고기를 사람들이 살펴보니 정말 그랬다.",4,very hard
"( 연의, 사서 공통 ) 도겸은 죽으면서 유언을 남겨, 서주의 통치권을 _____에게 넘겨주었다.",유비,medium
( 사서 ) 원성의 호적상 아들의 이름은?,원소,very hard
"( 연의, 사서 공통 ) 조앙의 이복 남동생이자 변씨의 친아들 중, 가장 나이가 많은 사람의 이름은?",조비,hard
"( 연의, 사서 공통 ) 제갈량이 황제 유선의 휘하에서 승상직을 수행 중일 때, 무략중랑장 두기는 ㅁㅁ의 임무를 맡았다.",참군,super hard
"( 연의 ) 감로 5년 ___월에 사마소가 칼을 차고 다가오자, 황제 조모가 일어서서 맞이했다.",4,super hard
( 연의 ) 헌제는 동승에게 ㅁ로 쓴 밀칙을 옥대에 숨겨서 하사하였다.,피,medium
"( 연의 ) 위연이 금으로 만들어진 사마의의 ㅁㅁ를 가지고 와서 욕을 퍼부으며 싸움을 걸자 장수들이 화를 냈지만, 그런 장수들을 사마의가 말렸다.",투구,very hard
"( 연의, 사서 공통 ) 위강의 출신주는 ㅁㅁ이다.",사례,super hard
